QUAT,w,x,y,z,timestamp
quat0,-0.49562,-0.54244,-0.52687,0.42722,1161.68
quat1,-0.73633,-0.33257,-0.31421,-0.49848,1161.68
quat2,-0.64526,-0.14606,-0.12304,-0.73971,1161.68
quat3,-0.42674,0.45849,0.46201,-0.62788,1161.68
quat4,-0.67504,0.11334,0.16533,-0.71003,1161.68
quat5,-0.36701,0.59867,-0.26078,-0.66248,1161.68
quat6,-0.50918,0.51316,-0.58085,-0.37418,1161.68
quat7,-0.41156,0.52692,-0.536,-0.51544,1161.68
quat8,-0.27214,0.62097,-0.26093,-0.68721,1161.68
quat0,-0.49584,-0.54255,-0.52752,0.42603,1161.7
quat1,-0.72647,-0.34162,-0.29621,-0.5175,1161.7
quat2,-0.64253,-0.16861,-0.0966,-0.74121,1161.7
quat3,-0.44872,0.44566,0.46854,-0.61685,1161.7
quat4,-0.68395,0.08471,0.17686,-0.70268,1161.7
quat5,-0.36691,0.59847,-0.26069,-0.66276,1161.7
quat6,-0.50857,0.51388,-0.58048,-0.37461,1161.7
quat7,-0.41053,0.52753,-0.53586,-0.51578,1161.7
quat8,-0.27204,0.62103,-0.26074,-0.68726,1161.7
quat0,-0.49639,-0.5422,-0.528,0.42524,1161.72
quat1,-0.71796,-0.35047,-0.2777,-0.53346,1161.72
quat2,-0.63922,-0.18563,-0.07214,-0.74279,1161.72
quat3,-0.46825,0.43347,0.47312,-0.60745,1161.72
quat4,-0.69085,0.05709,0.18607,-0.6963,1161.72
quat5,-0.36675,0.59833,-0.26072,-0.66296,1161.72
quat6,-0.50801,0.51447,-0.58032,-0.37481,1161.72
quat7,-0.4096,0.52827,-0.53565,-0.51598,1161.72
quat8,-0.27206,0.621,-0.26044,-0.68739,1161.72
quat0,-0.49673,-0.54202,-0.52814,0.4249,1161.74
quat1,-0.71047,-0.35931,-0.26014,-0.54631,1161.74
quat2,-0.63592,-0.19884,-0.04961,-0.74404,1161.74
quat3,-0.48513,0.42276,0.47613,-0.59935,1161.74
quat4,-0.6957,0.03324,0.19476,-0.69063,1161.74
quat5,-0.36632,0.59829,-0.26085,-0.66318,1161.74
quat6,-0.50762,0.5151,-0.58003,-0.37491,1161.74
quat7,-0.40877,0.5289,-0.53542,-0.51623,1161.74
quat8,-0.27182,0.62113,-0.26021,-0.68746,1161.74
quat0,-0.4969,-0.54205,-0.52801,0.42483,1161.76
quat1,-0.70288,-0.36668,-0.24763,-0.55694,1161.76
quat2,-0.63314,-0.21001,-0.02999,-0.7444,1161.76
quat3,-0.4993,0.41383,0.479,-0.59161,1161.76
quat4,-0.69974,0.01262,0.20276,-0.68491,1161.76
quat5,-0.36599,0.59832,-0.26064,-0.66343,1161.76
quat6,-0.50733,0.51563,-0.57962,-0.37521,1161.76
quat7,-0.40834,0.52911,-0.53552,-0.51626,1161.76
quat8,-0.27187,0.62111,-0.26014,-0.68749,1161.76
quat0,-0.49697,-0.54216,-0.52799,0.42463,1161.78
quat1,-0.69681,-0.37198,-0.2373,-0.56548,1161.78
quat2,-0.62947,-0.22112,-0.01523,-0.74474,1161.78
quat3,-0.51074,0.40677,0.48194,-0.58431,1161.78
quat4,-0.70314,-0.0056,0.20947,-0.67947,1161.78
quat5,-0.36564,0.59852,-0.26063,-0.66344,1161.78
quat6,-0.50686,0.51603,-0.5795,-0.37549,1161.78
quat7,-0.40836,0.52922,-0.53585,-0.51578,1161.78
quat8,-0.27176,0.62122,-0.26019,-0.68741,1161.78
quat0,-0.49687,-0.54257,-0.52782,0.42444,1161.8
quat1,-0.69223,-0.37511,-0.22939,-0.57226,1161.8
quat2,-0.6244,-0.23274,-0.00606,-0.7456,1161.8
quat3,-0.51952,0.40176,0.48491,-0.57754,1161.8
quat4,-0.70563,-0.02072,0.2155,-0.67469,1161.8
quat5,-0.36552,0.59869,-0.26067,-0.66334,1161.8
quat6,-0.50673,0.51595,-0.57991,-0.37514,1161.8
quat7,-0.40853,0.52918,-0.53634,-0.51518,1161.8
quat8,-0.27142,0.62156,-0.2603,-0.68719,1161.8
quat0,-0.49658,-0.5432,-0.52744,0.42443,1161.82
quat1,-0.6883,-0.37806,-0.22449,-0.57699,1161.82
quat2,-0.61871,-0.24293,-0.00072,-0.74712,1161.82
quat3,-0.5261,0.3988,0.48788,-0.5711,1161.82
quat4,-0.70705,-0.03069,0.22242,-0.67057,1161.82
quat5,-0.36545,0.59877,-0.26088,-0.66322,1161.82
quat6,-0.507,0.51544,-0.5806,-0.37439,1161.82
quat7,-0.40858,0.52916,-0.53669,-0.51479,1161.82
quat8,-0.27126,0.62196,-0.26053,-0.68682,1161.82
quat0,-0.49612,-0.54366,-0.52717,0.42472,1161.84
quat1,-0.6842,-0.38199,-0.22353,-0.57964,1161.84
quat2,-0.6139,-0.24971,0.00352,-0.74884,1161.84
quat3,-0.53117,0.39766,0.49007,-0.5653,1161.84
quat4,-0.70792,-0.03604,0.22947,-0.667,1161.84
quat5,-0.36543,0.59881,-0.26105,-0.66313,1161.84
quat6,-0.50726,0.51517,-0.58105,-0.37372,1161.84
quat7,-0.4086,0.52905,-0.53707,-0.5145,1161.84
quat8,-0.27124,0.62237,-0.26084,-0.68633,1161.84
quat0,-0.49538,-0.54422,-0.52689,0.42523,1161.86
quat1,-0.68063,-0.38547,-0.22487,-0.58102,1161.86
