QUAT,w,x,y,z,timestamp
quat0,-0.65664,0.07590,-0.74949,-0.03646,909.3
quat1,0.33358,-0.55572,-0.50365,-0.57118,909.3
quat2,0.34329,-0.59719,-0.60693,-0.39643,909.3
quat3,-0.27013,0.45058,-0.57314,-0.62890,909.3
quat4,-0.04012,-0.05391,0.77009,0.63439,909.3
quat5,0.00000,0.13053,0.00000,-0.99144,909.3
quat6,0.00000,0.13053,0.00000,-0.99144,909.3
quat7,0.00000,0.13053,0.00000,-0.99144,909.3
quat8,0.00000,0.13053,0.00000,-0.99144,909.3
quat0,0.99095,-0.11522,-0.05679,0.03894,909.32
quat1,0.35846,-0.53276,-0.54138,-0.54275,909.32
quat2,0.36032,-0.56636,-0.64655,-0.36246,909.32
quat3,-0.28027,0.43294,-0.60177,-0.60982,909.32
quat4,-0.04017,-0.03842,0.80831,0.58613,909.32
quat5,0.00000,0.13053,0.00000,-0.99144,909.32
quat6,0.00000,0.13053,0.00000,-0.99144,909.32
quat7,0.00000,0.13053,0.00000,-0.99144,909.32
quat8,0.00000,0.13053,0.00000,-0.99144,909.32
quat0,0.98131,-0.15289,-0.11541,0.01849,909.34
quat1,0.38427,-0.50116,-0.57583,-0.51922,909.34
quat2,0.37882,-0.52673,-0.68312,-0.33527,909.34
quat3,-0.29000,0.41184,-0.63006,-0.59103,909.34
quat4,-0.03995,-0.01988,0.84385,0.53472,909.34
quat5,0.00000,0.13053,0.00000,-0.99145,909.34
quat6,0.00000,0.13053,0.00000,-0.99145,909.34
quat7,0.00000,0.13053,0.00000,-0.99145,909.34
quat8,0.00000,0.13053,0.00000,-0.99145,909.34
quat0,0.98178,-0.15453,-0.10903,0.01859,909.36
quat1,0.41395,-0.46057,-0.60539,-0.50002,909.36
quat2,0.40177,-0.47859,-0.71450,-0.31469,909.36
quat3,-0.29881,0.38659,-0.65708,-0.57403,909.36
quat4,-0.03875,0.00067,0.87641,0.48001,909.36
quat5,0.00000,0.13053,0.00000,-0.99144,909.36
quat6,0.00000,0.13053,0.00000,-0.99144,909.36
quat7,0.00000,0.13053,0.00000,-0.99144,909.36
quat8,0.00000,0.13053,0.00000,-0.99144,909.36
quat0,0.98150,-0.15941,-0.10496,0.01544,909.38
quat1,0.44093,-0.41335,-0.63192,-0.48518,909.38
quat2,0.42930,-0.42389,-0.73952,-0.29855,909.38
quat3,-0.30542,0.35769,-0.68224,-0.55975,909.38
quat4,-0.03771,0.02050,0.90499,0.42327,909.38
quat5,0.00000,0.13053,0.00000,-0.99144,909.38
quat6,0.00000,0.13053,0.00000,-0.99144,909.38
quat7,0.00000,0.13053,0.00000,-0.99144,909.38
quat8,0.00000,0.13053,0.00000,-0.99144,909.38
quat0,0.98116,-0.16378,-0.10144,0.01431,909.4
quat1,0.46210,-0.36602,-0.65474,-0.47308,909.4
quat2,0.46099,-0.36340,-0.75747,-0.28580,909.4
quat3,-0.30671,0.32794,-0.70641,-0.54714,909.4
quat4,-0.03834,0.03969,0.92912,0.36564,909.4
quat5,0.00000,0.13053,0.00000,-0.99144,909.4
quat6,0.00000,0.13053,0.00000,-0.99144,909.4
quat7,0.00000,0.13053,0.00000,-0.99144,909.4
quat8,0.00000,0.13053,0.00000,-0.99144,909.4
quat0,0.98113,-0.16711,-0.09650,0.01220,909.42
quat1,0.47307,-0.32368,-0.67771,-0.46060,909.42
quat2,0.49480,-0.29757,-0.76879,-0.27493,909.42
quat3,-0.30398,0.29704,-0.72936,-0.53610,909.42
quat4,-0.04130,0.05788,0.94895,0.30730,909.42
quat5,0.00000,0.13053,0.00000,-0.99144,909.42
