QUAT,w,x,y,z,timestamp
quat0,0.66956,0.32982,0.61003,-0.26603,697.82
quat1,0.17493,0.97772,-0.10012,0.05865,697.82
quat2,-0.11290,0.99119,-0.06765,0.01506,697.82
quat3,0.07704,0.94089,0.13936,-0.29895,697.82
quat4,-0.07004,0.68097,-0.07039,-0.72555,697.82
quat5,0.00000,-0.96593,0.00000,0.25882,697.82
quat6,0.00000,-0.96593,0.00000,0.25882,697.82
quat7,0.00000,-0.96593,0.00000,0.25882,697.82
quat8,0.00000,-0.96593,0.00000,0.25882,697.82
quat0,0.10944,0.16621,-0.48799,0.84986,697.84
quat1,0.17732,0.97920,-0.08739,0.04561,697.84
quat2,-0.11278,0.99097,-0.07143,0.01230,697.84
quat3,0.09411,0.93922,0.13009,-0.30346,697.84
quat4,-0.06846,0.67316,-0.06748,-0.73322,697.84
quat5,0.00000,-0.96593,0.00000,0.25882,697.84
quat6,0.00000,-0.96593,0.00000,0.25882,697.84
quat7,0.00000,-0.96593,0.00000,0.25882,697.84
quat8,0.00000,-0.96593,0.00000,0.25882,697.84
quat0,0.17906,0.14032,-0.64397,0.73044,697.86
quat1,0.17921,0.98066,-0.07124,0.03345,697.86
quat2,-0.10991,0.99100,-0.07626,0.00394,697.86
quat3,0.11112,0.93768,0.11752,-0.30758,697.86
quat4,-0.06732,0.66887,-0.06318,-0.73763,697.86
quat5,0.00000,-0.96593,0.00000,0.25882,697.86
quat6,0.00000,-0.96593,0.00000,0.25882,697.86
quat7,0.00000,-0.96593,0.00000,0.25882,697.86
quat8,0.00000,-0.96593,0.00000,0.25882,697.86
quat0,0.16531,0.14525,-0.61601,0.75638,697.88
quat1,0.18137,0.98164,-0.05281,0.02637,697.88
quat2,-0.10645,0.99117,-0.07803,-0.01274,697.88
quat3,0.12654,0.93626,0.10261,-0.31126,697.88
quat4,-0.06642,0.66664,-0.05804,-0.74014,697.88
quat5,0.00000,-0.96593,0.00000,0.25882,697.88
quat6,0.00000,-0.96593,0.00000,0.25882,697.88
quat7,0.00000,-0.96593,0.00000,0.25882,697.88
quat8,0.00000,-0.96593,0.00000,0.25882,697.88
quat0,0.15438,0.15627,-0.57596,0.78741,697.9
quat1,0.18287,0.98217,-0.03536,0.02558,697.9
quat2,-0.10314,0.99112,-0.07648,-0.03452,697.9
quat3,0.13899,0.93404,0.08791,-0.31704,697.9
quat4,-0.06604,0.66778,-0.05341,-0.73950,697.9
quat5,0.00000,-0.96593,0.00000,0.25882,697.9
quat6,0.00000,-0.96593,0.00000,0.25882,697.9
quat7,0.00000,-0.96593,0.00000,0.25882,697.9
quat8,0.00000,-0.96593,0.00000,0.25882,697.9
quat0,0.14701,0.15938,-0.54220,0.81179,697.92
quat1,0.18169,0.98255,-0.02108,0.03382,697.92
quat2,-0.09958,0.99094,-0.07517,-0.04973,697.92
quat3,0.14635,0.93134,0.07664,-0.32453,697.92
quat4,-0.06732,0.66971,-0.04910,-0.73793,697.92
quat5,0.00000,-0.96593,0.00000,0.25882,697.92
quat6,0.00000,-0.96593,0.00000,0.25882,697.92
quat7,0.00000,-0.96593,0.00000,0.25882,697.92
quat8,0.00000,-0.96593,0.00000,0.25882,697.92
quat0,0.13800,0.16501,-0.51122,0.83209,697.94
quat1,0.18101,0.98241,-0.00814,0.04510,697.94
quat2,-0.09786,0.99074,-0.07278,-0.05975,697.94
quat3,0.15228,0.92774,0.06472,-0.33454,697.94
quat4,-0.07184,0.67183,-0.04463,-0.73586,697.94
quat5,0.00000,-0.96593,0.00000,0.25882,697.94
quat6,0.00000,-0.96593,0.00000,0.25882,697.94
quat7,0.00000,-0.96593,0.00000,0.25882,697.94
quat8,0.00000,-0.96593,0.00000,0.25882,697.94
quat0,0.12882,0.16841,-0.48083,0.85079,697.96
quat1,0.18018,0.98210,0.00263,0.05478,697.96
quat2,-0.09955,0.99050,-0.06898,-0.06519,697.96
quat3,0.15637,0.92424,0.05595,-0.34379,697.96
quat4,-0.07864,0.67449,-0.04101,-0.73294,697.96
quat5,0.00000,-0.96593,0.00000,0.25882,697.96
quat6,0.00000,-0.96593,0.00000,0.25882,697.96
quat7,0.00000,-0.96593,0.00000,0.25882,697.96
quat8,0.00000,-0.96593,0.00000,0.25882,697.96
quat0,0.11816,0.17268,-0.45177,0.86725,697.98
quat1,0.17861,0.98117,0.00975,0.07284,697.98
quat2,-0.10184,0.99046,-0.06713,-0.06414,697.98
