QUAT,w,x,y,z,timestamp
quat0,-0.04186,-0.52959,-0.12852,0.83742,994.3
quat1,0.23925,0.58143,-0.18035,0.75642,994.3
quat2,-0.12457,-0.36640,0.01940,-0.92188,994.3
quat3,-0.31192,-0.75158,0.18290,-0.55171,994.3
quat4,-0.02746,0.96081,-0.10117,0.25663,994.3
quat5,0.00000,0.70711,0.00000,0.70711,994.3
quat6,0.00000,0.70711,0.00000,0.70711,994.3
quat7,0.00000,0.70711,0.00000,0.70711,994.3
quat8,0.00000,0.70711,0.00000,0.70711,994.3
quat0,-0.27711,-0.51810,-0.38209,0.71329,994.32
quat1,0.24989,0.57167,-0.18428,0.75947,994.32
quat2,-0.13406,-0.35726,0.02076,-0.92410,994.32
quat3,-0.31918,-0.75808,0.19197,-0.53534,994.32
quat4,-0.02571,0.96288,-0.11443,0.24312,994.32
quat5,0.00000,0.70711,0.00000,0.70711,994.32
quat6,0.00000,0.70711,0.00000,0.70711,994.32
quat7,0.00000,0.70711,0.00000,0.70711,994.32
quat8,0.00000,0.70711,0.00000,0.70711,994.32
quat0,-0.26134,-0.52898,-0.36618,0.71958,994.34
quat1,0.26152,0.56651,-0.18542,0.75914,994.34
quat2,-0.14251,-0.35136,0.02239,-0.92506,994.34
quat3,-0.32590,-0.76327,0.20131,-0.52028,994.34
quat4,-0.02354,0.96400,-0.12552,0.23323,994.34
quat5,0.00000,0.70711,0.00000,0.70711,994.34
quat6,0.00000,0.70711,0.00000,0.70711,994.34
quat7,0.00000,0.70711,0.00000,0.70711,994.34
quat8,0.00000,0.70711,0.00000,0.70711,994.34
quat0,-0.24770,-0.52907,-0.35501,0.72986,994.36
quat1,0.27217,0.55960,-0.18700,0.76013,994.36
quat2,-0.14999,-0.34743,0.02462,-0.92530,994.36
quat3,-0.33107,-0.76822,0.21148,-0.50548,994.36
quat4,-0.02095,0.96448,-0.13485,0.22619,994.36
quat5,0.00000,0.70711,0.00000,0.70711,994.36
quat6,0.00000,0.70711,0.00000,0.70711,994.36
quat7,0.00000,0.70711,0.00000,0.70711,994.36
quat8,0.00000,0.70711,0.00000,0.70711,994.36
quat0,-0.23640,-0.53203,-0.34338,0.73699,994.38
quat1,0.28268,0.55522,-0.18619,0.75970,994.38
quat2,-0.15616,-0.34375,0.02728,-0.92558,994.38
quat3,-0.33582,-0.76992,0.22031,-0.49590,994.38
quat4,-0.01755,0.96452,-0.14200,0.22188,994.38
quat5,0.00000,0.70711,0.00000,0.70711,994.38
quat6,0.00000,0.70711,0.00000,0.70711,994.38
quat7,0.00000,0.70711,0.00000,0.70711,994.38
quat8,0.00000,0.70711,0.00000,0.70711,994.38
quat0,-0.22803,-0.53453,-0.33464,0.74182,994.4
quat1,0.29165,0.55153,-0.18522,0.75924,994.4
quat2,-0.16123,-0.34233,0.02977,-0.92517,994.4
quat3,-0.33947,-0.77085,0.22913,-0.48790,994.4
quat4,-0.01361,0.96383,-0.14810,0.22118,994.4
quat5,0.00000,0.70711,0.00000,0.70711,994.4
quat6,0.00000,0.70711,0.00000,0.70711,994.4
quat7,0.00000,0.70711,0.00000,0.70711,994.4
quat8,0.00000,0.70711,0.00000,0.70711,994.4
quat0,-0.22087,-0.53522,-0.32953,0.74577,994.42
quat1,0.29939,0.54913,-0.18358,0.75836,994.42
quat2,-0.16656,-0.34324,0.03144,-0.92383,994.42
quat3,-0.34231,-0.77122,0.23628,-0.48188,994.42
quat4,-0.00981,0.96299,-0.15400,0.22098,994.42
quat5,0.00000,0.70711,0.00000,0.70711,994.42
quat6,0.00000,0.70711,0.00000,0.70711,994.42
quat7,0.00000,0.70711,0.00000,0.70711,994.42
quat8,0.00000,0.70711,0.00000,0.70711,994.42
quat0,-0.21536,-0.53807,-0.32465,0.74747,994.44
quat1,0.30492,0.54886,-0.18233,0.75666,994.44
quat2,-0.17143,-0.34437,0.03289,-0.92246,994.44
quat3,-0.34555,-0.77168,0.24172,-0.47611,994.44
quat4,-0.00673,0.96189,-0.15975,0.22180,994.44
quat5,0.00000,0.70711,0.00000,0.70711,994.44
quat6,0.00000,0.70711,0.00000,0.70711,994.44
quat7,0.00000,0.70711,0.00000,0.70711,994.44
quat8,0.00000,0.70711,0.00000,0.70711,994.44
quat0,-0.21238,-0.53816,-0.32277,0.74907,994.46
quat1,0.30853,0.54987,-0.18044,0.75491,994.46
quat2,-0.17509,-0.34495,0.03332,-0.92155,994.46
quat3,-0.34886,-0.77129,0.24588,-0.47219,994.46
quat4,-0.00370,0.96019,-0.16434,0.22587,994.46
quat5,0.00000,0.70711,0.00000,0.70711,994.46
quat6,0.00000,0.70711,0.00000,0.70711,994.46
quat7,0.00000,0.70711,0.00000,0.70711,994.46
quat8,0.00000,0.70711,0.00000,0.70711,994.46
quat0,-0.20939,-0.54101,-0.32106,0.74859,994.48
quat1,0.31079,0.55222,-0.17865,0.75269,994.48
quat2,-0.17759,-0.34563,0.03242,-0.92084,994.48
quat3,-0.35139,-0.76906,0.25026,-0.47164,994.48
quat4,-0.00041,0.95843,-0.16790,0.23069,994.48
quat5,0.00000,0.70711,0.00000,0.70711,994.48
quat6,0.00000,0.70711,0.00000,0.70711,994.48
quat7,0.00000,0.70711,0.00000,0.70711,994.48
quat8,0.00000,0.70711,0.00000,0.70711,994.48
quat0,-0.21388,-0.53381,-0.32586,0.75041,994.5
quat1,0.31139,0.55581,-0.17775,0.75001,994.5
quat2,-0.17925,-0.34619,0.03018,-0.92038,994.5
quat3,-0.35285,-0.76690,0.25382,-0.47217,994.5
quat4,0.00243,0.95700,-0.17087,0.23443,994.5
quat5,0.00000,0.70711,0.00000,0.70711,994.5
quat6,0.00000,0.70711,0.00000,0.70711,994.5
quat7,0.00000,0.70711,0.00000,0.70711,994.5
quat8,0.00000,0.70711,0.00000,0.70711,994.5
quat0,-0.21830,-0.53011,-0.33122,0.74942,994.52
quat1,0.31144,0.56065,-0.17747,0.74645,994.52
quat2,-0.18033,-0.34778,0.02697,-0.91967,994.52
quat3,-0.35403,-0.76393,0.25671,-0.47451,994.52
quat4,0.00381,0.95534,-0.17312,0.23944,994.52
quat5,0.00000,0.70711,0.00000,0.70711,994.52
quat6,0.00000,0.70711,0.00000,0.70711,994.52
quat7,0.00000,0.70711,0.00000,0.70711,994.52
quat8,0.00000,0.70711,0.00000,0.70711,994.52
quat0,-0.22373,-0.52656,-0.33931,0.74669,994.54
quat1,0.31177,0.56622,-0.17661,0.74230,994.54
quat2,-0.18169,-0.35134,0.02329,-0.91815,994.54
quat3,-0.35582,-0.75967,0.25904,-0.47875,994.54
quat4,0.00237,0.95400,-0.17307,0.24481,994.54
quat5,0.00000,0.70711,0.00000,0.70711,994.54
quat6,0.00000,0.70711,0.00000,0.70711,994.54
quat7,0.00000,0.70711,0.00000,0.70711,994.54
quat8,0.00000,0.70711,0.00000,0.70711,994.54
quat0,-0.22857,-0.52603,-0.35009,0.74060,994.56
quat1,0.31142,0.57167,-0.17553,0.73852,994.56
quat2,-0.18387,-0.35550,0.01964,-0.91620,994.56
quat3,-0.36011,-0.75394,0.25895,-0.48461,994.56
quat4,-0.00442,0.95276,-0.16920,0.25217,994.56
quat5,0.00000,0.70711,0.00000,0.70711,994.56
quat6,0.00000,0.70711,0.00000,0.70711,994.56
quat7,0.00000,0.70711,0.00000,0.70711,994.56
quat8,0.00000,0.70711,0.00000,0.70711,994.56
quat0,-0.23637,-0.52363,-0.36219,0.73400,994.58
quat1,0.30960,0.57713,-0.17346,0.73551,994.58
quat2,-0.18670,-0.35990,0.01614,-0.91398,994.58
quat3,-0.36470,-0.74880,0.25765,-0.48981,994.58
quat4,-0.01946,0.95163,-0.16142,0.26069,994.58
quat5,0.00000,0.70711,0.00000,0.70711,994.58
quat6,0.00000,0.70711,0.00000,0.70711,994.58
quat7,0.00000,0.70711,0.00000,0.70711,994.58
quat8,0.00000,0.70711,0.00000,0.70711,994.58
quat0,-0.24452,-0.52364,-0.37317,0.72578,994.6
quat1,0.30685,0.58302,-0.17087,0.73262,994.6
quat2,-0.18918,-0.36481,0.01273,-0.91157,994.6
quat3,-0.37208,-0.74370,0.25285,-0.49450,994.6
quat4,-0.04491,0.95176,-0.15050,0.26360,994.6
quat5,0.00000,0.70711,0.00000,0.70711,994.6
quat6,0.00000,0.70711,0.00000,0.70711,994.6
quat7,0.00000,0.70711,0.00000,0.70711,994.6
quat8,0.00000,0.70711,0.00000,0.70711,994.6
quat0,-0.25629,-0.52049,-0.38548,0.71750,994.62
quat1,0.30276,0.59038,-0.16692,0.72933,994.62
quat2,-0.19156,-0.37065,0.00881,-0.90876,994.62
quat3,-0.38384,-0.74171,0.24027,-0.49478,994.62
quat4,-0.08206,0.95109,-0.14093,0.26237,994.62
quat5,0.00000,0.70711,0.00000,0.70711,994.62
quat6,0.00000,0.70711,0.00000,0.70711,994.62
quat7,0.00000,0.70711,0.00000,0.70711,994.62
quat8,0.00000,0.70711,0.00000,0.70711,994.62
quat0,-0.26654,-0.51937,-0.40099,0.70599,994.64
quat1,0.29586,0.59725,-0.16232,0.72761,994.64
quat2,-0.19329,-0.37540,0.00461,-0.90648,994.64
quat3,-0.40135,-0.74033,0.22018,-0.49230,994.64
quat4,-0.12513,0.94733,-0.13507,0.26204,994.64
quat5,0.00000,0.70711,0.00000,0.70711,994.64
quat6,0.00000,0.70711,0.00000,0.70711,994.64
quat7,0.00000,0.70711,0.00000,0.70711,994.64
quat8,0.00000,0.70711,0.00000,0.70711,994.64
quat0,-0.27757,-0.51634,-0.41772,0.69415,994.66
quat1,0.28563,0.60242,-0.15713,0.72857,994.66
quat2,-0.19354,-0.37713,0.00042,-0.90571,994.66
quat3,-0.41723,-0.74245,0.19893,-0.48488,994.66
quat4,-0.17080,0.94150,-0.13040,0.25960,994.66
quat5,0.00000,0.70711,0.00000,0.70711,994.66
quat6,0.00000,0.70711,0.00000,0.70711,994.66
quat7,0.00000,0.70711,0.00000,0.70711,994.66
quat8,0.00000,0.70711,0.00000,0.70711,994.66
quat0,-0.28967,-0.50997,-0.43651,0.68226,994.68
quat1,0.27346,0.60735,-0.15133,0.73037,994.68
quat2,-0.19196,-0.37605,-0.00341,-0.90649,994.68
quat3,-0.43457,-0.74209,0.17954,-0.47772,994.68
quat4,-0.21850,0.93384,-0.12728,0.25301,994.68
quat5,0.00000,0.70711,0.00000,0.70711,994.68
quat6,0.00000,0.70711,0.00000,0.70711,994.68
quat7,0.00000,0.70711,0.00000,0.70711,994.68
quat8,0.00000,0.70711,0.00000,0.70711,994.68
quat0,-0.30340,-0.50014,-0.45557,0.67102,994.7
quat1,0.25926,0.61133,-0.14538,0.73344,994.7
quat2,-0.18889,-0.37200,-0.00682,-0.90879,994.7
quat3,-0.45674,-0.73830,0.16254,-0.46892,994.7
quat4,-0.26432,0.92235,-0.12816,0.25095,994.7
quat5,0.00000,0.70711,0.00000,0.70711,994.7
quat6,0.00000,0.70711,0.00000,0.70711,994.7
quat7,0.00000,0.70711,0.00000,0.70711,994.7
quat8,0.00000,0.70711,0.00000,0.70711,994.7
quat0,-0.31693,-0.48941,-0.47486,0.65920,994.72
quat1,0.24447,0.61433,-0.13887,0.73726,994.72
quat2,-0.18379,-0.36507,-0.00924,-0.91261,994.72
quat3,-0.48266,-0.72890,0.14356,-0.46382,994.72
quat4,-0.30459,0.90699,-0.13246,0.25894,994.72
quat5,0.00000,0.70711,0.00000,0.70711,994.72
quat6,0.00000,0.70711,0.00000,0.70711,994.72
quat7,0.00000,0.70711,0.00000,0.70711,994.72
quat8,0.00000,0.70711,0.00000,0.70711,994.72
quat0,-0.33156,-0.47812,-0.49477,0.64550,994.74
quat1,0.22937,0.61654,-0.13306,0.74133,994.74
quat2,-0.17732,-0.35700,-0.01088,-0.91705,994.74
quat3,-0.50880,-0.71730,0.12386,-0.45963,994.74
quat4,-0.33771,0.88994,-0.13956,0.27291,994.74
quat5,0.00000,0.70711,0.00000,0.70711,994.74
quat6,0.00000,0.70711,0.00000,0.70711,994.74
quat7,0.00000,0.70711,0.00000,0.70711,994.74
quat8,0.00000,0.70711,0.00000,0.70711,994.74
quat0,-0.34732,-0.46351,-0.51441,0.63238,994.76
quat1,0.21437,0.61713,-0.12820,0.74616,994.76
quat2,-0.17006,-0.34989,-0.01085,-0.92116,994.76
quat3,-0.53390,-0.70422,0.10570,-0.45591,994.76
quat4,-0.36312,0.87349,-0.14790,0.28858,994.76
quat5,0.00000,0.70711,0.00000,0.70711,994.76
quat6,0.00000,0.70711,0.00000,0.70711,994.76
quat7,0.00000,0.70711,0.00000,0.70711,994.76
quat8,0.00000,0.70711,0.00000,0.70711,994.76
quat0,-0.36393,-0.44987,-0.53366,0.61675,994.78
quat1,0.20040,0.61565,-0.12357,0.75202,994.78
quat2,-0.16265,-0.34497,-0.00946,-0.92437,994.78
quat3,-0.55714,-0.69132,0.08669,-0.45184,994.78
quat4,-0.38228,0.85938,-0.15504,0.30215,994.78
quat5,0.00000,0.70711,0.00000,0.70711,994.78
quat6,0.00000,0.70711,0.00000,0.70711,994.78
quat7,0.00000,0.70711,0.00000,0.70711,994.78
quat8,0.00000,0.70711,0.00000,0.70711,994.78
quat0,-0.38415,-0.42992,-0.55442,0.60018,994.8
quat1,0.18659,0.61457,-0.11907,0.75717,994.8
quat2,-0.15519,-0.34242,-0.00642,-0.92662,994.8
quat3,-0.57915,-0.67593,0.06646,-0.45087,994.8
quat4,-0.39550,0.84920,-0.15724,0.31260,994.8
quat5,0.00000,0.70711,0.00000,0.70711,994.8
quat6,0.00000,0.70711,0.00000,0.70711,994.8
quat7,0.00000,0.70711,0.00000,0.70711,994.8
quat8,0.00000,0.70711,0.00000,0.70711,994.8
quat0,-0.40345,-0.40836,-0.57532,0.58265,994.82
quat1,0.17269,0.61438,-0.11384,0.76142,994.82
quat2,-0.14783,-0.34128,-0.00246,-0.92826,994.82
quat3,-0.59982,-0.65654,0.04366,-0.45527,994.82
quat4,-0.40328,0.84422,-0.15405,0.31768,994.82
quat5,0.00000,0.70711,0.00000,0.70711,994.82
quat6,0.00000,0.70711,0.00000,0.70711,994.82
quat7,0.00000,0.70711,0.00000,0.70711,994.82
quat8,0.00000,0.70711,0.00000,0.70711,994.82
quat0,-0.42079,-0.38502,-0.59515,0.56613,994.84
quat1,0.15825,0.61450,-0.10793,0.76531,994.84
quat2,-0.14015,-0.33979,0.00247,-0.93000,994.84
quat3,-0.61774,-0.63508,0.01860,-0.46339,994.84
quat4,-0.40512,0.84258,-0.14889,0.32214,994.84
quat5,0.00000,0.70711,0.00000,0.70711,994.84
quat6,0.00000,0.70711,0.00000,0.70711,994.84
quat7,0.00000,0.70711,0.00000,0.70711,994.84
quat8,0.00000,0.70711,0.00000,0.70711,994.84
quat0,-0.43800,-0.35975,-0.61629,0.54673,994.86
quat1,0.14361,0.61563,-0.10146,0.76817,994.86
quat2,-0.13192,-0.33837,0.00783,-0.93169,994.86
quat3,-0.63079,-0.61518,-0.00741,-0.47287,994.86
quat4,-0.40263,0.84250,-0.14346,0.32788,994.86
quat5,0.00000,0.70711,0.00000,0.70711,994.86
quat6,0.00000,0.70711,0.00000,0.70711,994.86
quat7,0.00000,0.70711,0.00000,0.70711,994.86
quat8,0.00000,0.70711,0.00000,0.70711,994.86
quat0,-0.45317,-0.33510,-0.63672,0.52624,994.88
quat1,0.12974,0.61927,-0.09545,0.76848,994.88
quat2,-0.12290,-0.33970,0.01335,-0.93237,994.88
quat3,-0.63889,-0.59926,-0.03020,-0.48146,994.88
quat4,-0.39720,0.84461,-0.13656,0.33200,994.88
quat5,0.00000,0.70711,0.00000,0.70711,994.88
quat6,0.00000,0.70711,0.00000,0.70711,994.88
quat7,0.00000,0.70711,0.00000,0.70711,994.88
quat8,0.00000,0.70711,0.00000,0.70711,994.88
quat0,-0.46661,-0.31160,-0.65492,0.50622,994.9
quat1,0.11576,0.62443,-0.08980,0.76722,994.9
quat2,-0.11330,-0.34526,0.01829,-0.93146,994.9
quat3,-0.64363,-0.58510,-0.05041,-0.49077,994.9
quat4,-0.39159,0.84993,-0.12517,0.32957,994.9
quat5,0.00000,0.70711,0.00000,0.70711,994.9
quat6,0.00000,0.70711,0.00000,0.70711,994.9
quat7,0.00000,0.70711,0.00000,0.70711,994.9
quat8,0.00000,0.70711,0.00000,0.70711,994.9
quat0,-0.48002,-0.28522,-0.67332,0.48464,994.92
quat1,0.10167,0.63114,-0.08459,0.76431,994.92
quat2,-0.10266,-0.35491,0.02290,-0.92897,994.92
quat3,-0.64527,-0.57280,-0.06561,-0.50122,994.92
quat4,-0.38401,0.85640,-0.11231,0.32636,994.92
quat5,0.00000,0.70711,0.00000,0.70711,994.92
quat6,0.00000,0.70711,0.00000,0.70711,994.92
quat7,0.00000,0.70711,0.00000,0.70711,994.92
quat8,0.00000,0.70711,0.00000,0.70711,994.92
quat0,-0.49094,-0.25968,-0.69262,0.46024,994.94
quat1,0.08672,0.63990,-0.07935,0.75941,994.94
quat2,-0.09093,-0.36841,0.02671,-0.92482,994.94
quat3,-0.64316,-0.55933,-0.08075,-0.51670,994.94
quat4,-0.37687,0.86162,-0.09747,0.32571,994.94
quat5,0.00000,0.70711,0.00000,0.70711,994.94
quat6,0.00000,0.70711,0.00000,0.70711,994.94
quat7,0.00000,0.70711,0.00000,0.70711,994.94
quat8,0.00000,0.70711,0.00000,0.70711,994.94
quat0,-0.50169,-0.23327,-0.71102,0.43400,994.96
quat1,0.07183,0.65066,-0.07426,0.75231,994.96
quat2,-0.07807,-0.38464,0.02975,-0.91928,994.96
quat3,-0.63913,-0.54063,-0.09965,-0.53786,994.96
quat4,-0.37202,0.86562,-0.07796,0.32593,994.96
quat5,0.00000,0.70711,0.00000,0.70711,994.96
quat6,0.00000,0.70711,0.00000,0.70711,994.96
quat7,0.00000,0.70711,0.00000,0.70711,994.96
quat8,0.00000,0.70711,0.00000,0.70711,994.96
quat0,-0.51235,-0.20638,-0.72598,0.40970,994.98
quat1,0.05767,0.66282,-0.06833,0.74342,994.98
quat2,-0.06385,-0.40175,0.03190,-0.91296,994.98
quat3,-0.63049,-0.52227,-0.11593,-0.56239,994.98
quat4,-0.37093,0.86818,-0.05582,0.32492,994.98
quat5,0.00000,0.70711,0.00000,0.70711,994.98
quat6,0.00000,0.70711,0.00000,0.70711,994.98
quat7,0.00000,0.70711,0.00000,0.70711,994.98
quat8,0.00000,0.70711,0.00000,0.70711,994.98
quat0,-0.52419,-0.17940,-0.73833,0.38459,995
quat1,0.04410,0.67522,-0.06228,0.73366,995
quat2,-0.04843,-0.42009,0.03332,-0.90558,995
quat3,-0.61699,-0.50801,-0.12938,-0.58695,995
quat4,-0.37401,0.87032,-0.03508,0.31848,995
quat5,0.00000,0.70711,0.00000,0.70711,995
quat6,0.00000,0.70711,0.00000,0.70711,995
quat7,0.00000,0.70711,0.00000,0.70711,995
quat8,0.00000,0.70711,0.00000,0.70711,995
quat0,-0.53641,-0.15325,-0.74660,0.36244,995.02
quat1,0.03208,0.68781,-0.05571,0.72303,995.02
quat2,-0.03180,-0.43970,0.03322,-0.89697,995.02
quat3,-0.59701,-0.49998,-0.13875,-0.61185,995.02
quat4,-0.38257,0.86929,-0.01398,0.31271,995.02
quat5,0.00000,0.70711,0.00000,0.70711,995.02
quat6,0.00000,0.70711,0.00000,0.70711,995.02
quat7,0.00000,0.70711,0.00000,0.70711,995.02
quat8,0.00000,0.70711,0.00000,0.70711,995.02
quat0,-0.55111,-0.12530,-0.75050,0.34252,995.04
quat1,0.02140,0.70016,-0.04990,0.71192,995.04
