QUAT,w,x,y,z,timestamp
quat0,0.40609,-0.38958,0.82633,-0.02234,1378.36
quat1,-0.13093,0.66351,0.13733,0.72370,1378.36
quat2,0.08473,-0.13535,-0.02958,-0.98673,1378.36
quat3,0.03274,-0.39531,-0.09883,-0.91263,1378.36
quat4,-0.12609,0.82531,0.15620,0.52779,1378.36
quat5,0.00000,0.63253,0.00000,0.77454,1378.36
quat6,0.00000,0.63253,0.00000,0.77454,1378.36
quat7,0.00000,0.63253,0.00000,0.77454,1378.36
quat8,0.00000,0.63253,0.00000,0.77454,1378.36
quat0,0.99043,-0.02634,0.13537,0.00558,1378.38
quat1,-0.14504,0.64927,0.15606,0.73011,1378.38
quat2,0.10339,-0.11705,-0.02086,-0.98751,1378.38
quat3,0.05002,-0.41494,-0.11590,-0.90105,1378.38
quat4,-0.11341,0.84449,0.16903,0.49538,1378.38
quat5,0.00000,0.63253,0.00000,0.77454,1378.38
quat6,0.00000,0.63253,0.00000,0.77454,1378.38
quat7,0.00000,0.63253,0.00000,0.77454,1378.38
quat8,0.00000,0.63253,0.00000,0.77454,1378.38
quat0,-0.81021,0.13212,-0.57092,0.01216,1378.4
quat1,-0.16551,0.63190,0.17942,0.73560,1378.4
quat2,0.13020,-0.10224,-0.01572,-0.98608,1378.4
quat3,0.06988,-0.43777,-0.14104,-0.88520,1378.4
quat4,-0.09868,0.86263,0.19297,0.45705,1378.4
quat5,0.00000,0.63253,0.00000,0.77454,1378.4
quat6,0.00000,0.63253,0.00000,0.77454,1378.4
quat7,0.00000,0.63253,0.00000,0.77454,1378.4
quat8,0.00000,0.63253,0.00000,0.77454,1378.4
quat0,-0.75352,0.13389,-0.64354,0.01177,1378.42
quat1,-0.19000,0.62053,0.20325,0.73317,1378.42
quat2,0.16155,-0.09579,-0.01767,-0.98205,1378.42
quat3,0.08951,-0.45418,-0.17083,-0.86979,1378.42
quat4,-0.08352,0.87621,0.22453,0.41818,1378.42
quat5,0.00000,0.63253,0.00000,0.77454,1378.42
quat6,0.00000,0.63253,0.00000,0.77454,1378.42
quat7,0.00000,0.63253,0.00000,0.77454,1378.42
quat8,0.00000,0.63253,0.00000,0.77454,1378.42
quat0,-0.76994,0.15401,-0.61925,-0.00007,1378.44
quat1,-0.21656,0.61273,0.23060,0.72422,1378.44
quat2,0.20116,-0.08886,-0.02444,-0.97521,1378.44
quat3,0.11202,-0.46086,-0.20381,-0.85646,1378.44
quat4,-0.06821,0.88272,0.26360,0.38297,1378.44
quat5,0.00000,0.63253,0.00000,0.77454,1378.44
quat6,0.00000,0.63253,0.00000,0.77454,1378.44
quat7,0.00000,0.63253,0.00000,0.77454,1378.44
quat8,0.00000,0.63253,0.00000,0.77454,1378.44
quat0,-0.75179,0.12808,-0.64668,0.01481,1378.46
quat1,-0.24214,0.60829,0.25922,0.71004,1378.46
quat2,0.24633,-0.08439,-0.03885,-0.96472,1378.46
quat3,0.13800,-0.46196,-0.23698,-0.84344,1378.46
quat4,-0.05793,0.87833,0.30741,0.36149,1378.46
quat5,0.00000,0.63253,0.00000,0.77454,1378.46
quat6,0.00000,0.63253,0.00000,0.77454,1378.46
quat7,0.00000,0.63253,0.00000,0.77454,1378.46
quat8,0.00000,0.63253,0.00000,0.77454,1378.46
quat0,-0.75363,0.14521,-0.64105,0.00184,1378.48
quat1,-0.26839,0.60513,0.28768,0.69212,1378.48
quat2,0.29639,-0.07760,-0.05862,-0.95010,1378.48
quat3,0.16437,-0.46062,-0.27000,-0.82940,1378.48
quat4,-0.05422,0.86531,0.35722,0.34740,1378.48
quat5,0.00000,0.63253,0.00000,0.77454,1378.48
quat6,0.00000,0.63253,0.00000,0.77454,1378.48
quat7,0.00000,0.63253,0.00000,0.77454,1378.48
quat8,0.00000,0.63253,0.00000,0.77454,1378.48
quat0,-0.76191,0.14832,-0.63047,0.00072,1378.5
quat1,-0.29541,0.59770,0.31567,0.67516,1378.5
quat2,0.34815,-0.06775,-0.07968,-0.93159,1378.5
quat3,0.19057,-0.45925,-0.30491,-0.81229,1378.5
quat4,-0.05532,0.84787,0.40905,0.33277,1378.5
quat5,0.00000,0.63253,0.00000,0.77454,1378.5
quat6,0.00000,0.63253,0.00000,0.77454,1378.5
quat7,0.00000,0.63253,0.00000,0.77454,1378.5
quat8,0.00000,0.63253,0.00000,0.77454,1378.5
quat0,-0.74232,0.14252,-0.65471,0.00095,1378.52
quat1,-0.32624,0.58232,0.33976,0.66260,1378.52
quat2,0.40104,-0.05641,-0.10157,-0.90866,1378.52
quat3,0.21468,-0.45902,-0.34340,-0.79075,1378.52
quat4,-0.05894,0.82718,0.46181,0.31469,1378.52
quat5,0.00000,0.63253,0.00000,0.77454,1378.52
quat6,0.00000,0.63253,0.00000,0.77454,1378.52
quat7,0.00000,0.63253,0.00000,0.77454,1378.52
quat8,0.00000,0.63253,0.00000,0.77454,1378.52
quat0,-0.74551,0.13372,-0.65287,0.00979,1378.54
quat1,-0.36008,0.56308,0.35802,0.65201,1378.54
quat2,0.45212,-0.04369,-0.12222,-0.88246,1378.54
quat3,0.23193,-0.46301,-0.38550,-0.76369,1378.54
quat4,-0.06140,0.80539,0.51190,0.29245,1378.54
quat5,0.00000,0.63253,0.00000,0.77454,1378.54
quat6,0.00000,0.63253,0.00000,0.77454,1378.54
quat7,0.00000,0.63253,0.00000,0.77454,1378.54
quat8,0.00000,0.63253,0.00000,0.77454,1378.54
quat0,-0.75815,0.13593,-0.63773,0.00584,1378.56
quat1,-0.39432,0.54244,0.37172,0.64194,1378.56
quat2,0.50086,-0.02957,-0.14005,-0.85361,1378.56
quat3,0.24188,-0.46830,-0.43163,-0.73204,1378.56
quat4,-0.06113,0.78255,0.55951,0.26612,1378.56
quat5,0.00000,0.63253,0.00000,0.77454,1378.56
quat6,0.00000,0.63253,0.00000,0.77454,1378.56
quat7,0.00000,0.63253,0.00000,0.77454,1378.56
quat8,0.00000,0.63253,0.00000,0.77454,1378.56
quat0,-0.76087,0.10982,-0.63913,0.02298,1378.58
quat1,-0.42828,0.52169,0.38318,0.63054,1378.58
quat2,0.54641,-0.01478,-0.15470,-0.82297,1378.58
quat3,0.24778,-0.47220,-0.47702,-0.69863,1378.58
quat4,-0.05802,0.75888,0.60367,0.23729,1378.58
quat5,0.00000,0.63253,0.00000,0.77454,1378.58
quat6,0.00000,0.63253,0.00000,0.77454,1378.58
quat7,0.00000,0.63253,0.00000,0.77454,1378.58
quat8,0.00000,0.63253,0.00000,0.77454,1378.58
quat0,-0.74521,0.09697,-0.65938,0.02180,1378.6
quat1,-0.45983,0.50154,0.39338,0.61827,1378.6
quat2,0.58948,-0.00020,-0.16433,-0.79089,1378.6
quat3,0.25329,-0.47171,-0.51508,-0.66935,1378.6
quat4,-0.05301,0.73356,0.64445,0.20922,1378.6
quat5,0.00000,0.63253,0.00000,0.77454,1378.6
quat6,0.00000,0.63253,0.00000,0.77454,1378.6
quat7,0.00000,0.63253,0.00000,0.77454,1378.6
quat8,0.00000,0.63253,0.00000,0.77454,1378.6
quat0,-0.75556,0.07834,-0.64954,0.03305,1378.62
quat1,-0.48556,0.48497,0.40413,0.60474,1378.62
quat2,0.62879,0.01228,-0.16968,-0.75874,1378.62
quat3,0.26012,-0.46393,-0.54404,-0.64894,1378.62
quat4,-0.04736,0.70700,0.68094,0.18502,1378.62
quat5,0.00000,0.63253,0.00000,0.77454,1378.62
quat6,0.00000,0.63253,0.00000,0.77454,1378.62
quat7,0.00000,0.63253,0.00000,0.77454,1378.62
quat8,0.00000,0.63253,0.00000,0.77454,1378.62
quat0,-0.74069,0.09437,-0.66438,0.03281,1378.64
quat1,-0.50421,0.47331,0.41629,0.59030,1378.64
quat2,0.66260,0.02072,-0.17369,-0.72826,1378.64
quat3,0.26788,-0.45684,-0.56450,-0.63314,1378.64
quat4,-0.04279,0.67954,0.71324,0.16638,1378.64
quat5,0.00000,0.63253,0.00000,0.77454,1378.64
quat6,0.00000,0.63253,0.00000,0.77454,1378.64
quat7,0.00000,0.63253,0.00000,0.77454,1378.64
quat8,0.00000,0.63253,0.00000,0.77454,1378.64
quat0,-0.74848,0.10366,-0.65412,0.03400,1378.66
quat1,-0.51630,0.46268,0.42923,0.57890,1378.66
quat2,0.69063,0.02393,-0.17900,-0.70030,1378.66
quat3,0.27793,-0.45142,-0.57911,-0.61936,1378.66
quat4,-0.04380,0.64994,0.74251,0.15598,1378.66
